"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"576072","5092","2025-01-30 19:17:55","3","30","0","0","2025-01-30 21:10:17"
"576071","4740","2025-01-30 19:17:47","3","30","0","0","2025-01-30 21:10:16"
"576070","4956","2025-01-30 19:17:41","3","30","0","0","2025-01-30 21:10:15"
"576069","4652","2025-01-30 19:17:31","3","30","0","0","2025-01-30 21:10:14"
"576068","4687","2025-01-30 19:17:25","3","30","0","0","2025-01-30 21:10:14"
"576067","4660","2025-01-30 19:17:21","3","30","0","0","2025-01-30 21:10:13"
"576066","5287","2025-01-30 19:17:15","3","30","0","0","2025-01-30 21:10:12"
"576065","4651","2025-01-30 19:17:11","3","30","0","0","2025-01-30 21:10:11"
"576064","4951","2025-01-30 19:17:02","3","30","0","0","2025-01-30 21:10:10"
"576063","4996","2025-01-30 19:16:57","3","30","0","0","2025-01-30 21:10:10"
"576062","4503","2025-01-30 19:16:52","3","30","0","0","2025-01-30 21:10:09"
"576061","4859","2025-01-30 19:16:48","3","30","0","0","2025-01-30 21:10:08"
"576060","5289","2025-01-30 19:16:44","3","30","0","0","2025-01-30 21:10:07"
"576059","5299","2025-01-30 19:16:40","3","30","0","0","2025-01-30 21:10:07"
"576058","5061","2025-01-30 19:16:36","3","30","0","0","2025-01-30 21:10:06"
"576057","5309","2025-01-30 19:16:31","3","30","0","0","2025-01-30 21:10:05"
"576056","4737","2025-01-30 19:16:26","3","30","0","0","2025-01-30 21:10:04"
"576055","4543","2025-01-30 19:16:07","3","30","0","0","2025-01-30 21:10:04"
"576054","5215","2025-01-30 19:16:02","3","30","0","0","2025-01-30 21:10:03"
"576053","4483","2025-01-30 19:15:57","3","30","0","0","2025-01-30 21:10:02"
"576052","4489","2025-01-30 19:15:37","3","30","0","0","2025-01-30 21:10:01"
"576051","5201","2025-01-30 19:15:19","3","30","0","0","2025-01-30 21:10:00"
"576050","4569","2025-01-30 19:15:13","3","30","0","0","2025-01-30 21:09:59"
